Wl [µm]	T [%]
1.984	0.179658532
1.983	0.164653912
1.982	0.169855893
1.981	0.129933253
1.980	0.131701201
1.979	0.143199176
1.978	0.148733512
1.977	0.106587835
1.976	0.140054166
1.975	0.083356783
1.974	0.079732709
1.973	0.096976444
1.972	0.081478104
1.971	0.112332821
1.970	0.070089169
1.969	0.07545127
1.968	0.078450337
1.967	0.065347165
1.966	0.055353243
1.965	0.066368103
1.964	0.053239148
1.963	0.042509668
1.962	0.05086948
1.961	0.032522116
1.960	0.051885132
1.959	0.038683385
1.958	0.037468679
1.957	0.042969182
1.956	0.036245864
1.955	0.05530981
1.954	0.045750208
1.953	0.011841792
1.952	0.029691277
1.951	0.032924529
1.950	-0.01123442
